Customer ID,Order Date,Sales
AA-10315,2018-03-31,726.548
AA-10315,2018-09-15,29.5
AA-10315,2019-10-04,26.96
AA-10315,2020-03-03,4406.072
AA-10315,2021-06-29,374.48
AA-10375,2018-04-21,16.52
AA-10375,2018-10-24,34.272
AA-10375,2019-02-03,178.37
AA-10375,2019-05-08,5.247999999999999
AA-10375,2019-11-13,84.96
AA-10375,2020-07-10,16.768
AA-10375,2020-11-14,513.52
AA-10375,2021-09-07,56.86
AA-10375,2021-12-11,149.872
AA-10480,2018-05-04,27.46
AA-10480,2020-07-17,589.52
AA-10480,2020-08-26,1157.9800000000002
AA-10480,2021-04-15,15.552
AA-10645,2018-06-22,1106.77
AA-10645,2018-12-01,327.56
AA-10645,2019-11-17,1971.46
AA-10645,2020-07-04,1376.4450000000002
AA-10645,2020-09-04,291.73999999999995
AA-10645,2021-11-05,12.96
AB-10015,2018-02-18,12.624
AB-10015,2018-03-07,309.592
AB-10015,2020-11-10,563.9399999999999
AB-10060,2019-09-18,18.54
AB-10060,2020-03-13,334.2
AB-10060,2020-08-29,27.93
AB-10060,2020-09-01,4438.686
AB-10060,2021-05-07,79.99
AB-10060,2021-09-16,20.736
AB-10060,2021-11-05,240.15
AB-10060,2021-11-06,2595.388
AB-10105,2018-12-20,1107.66
AB-10105,2019-11-07,671.0020000000001
AB-10105,2020-02-02,117.96
AB-10105,2020-09-25,393.165
AB-10105,2020-12-17,9892.74
AB-10105,2021-05-18,344.704
AB-10105,2021-06-05,470.376
AB-10105,2021-08-03,39.816
AB-10105,2021-09-19,592.308
AB-10105,2021-11-19,843.84
AB-10150,2018-03-05,705.562
AB-10150,2019-09-10,14.94
AB-10150,2020-01-31,15.552
AB-10150,2021-09-04,91.96
AB-10150,2021-11-19,138.696
AB-10165,2018-11-16,37.296
AB-10165,2019-03-28,199.64000000000001
AB-10165,2019-05-10,46.688
AB-10165,2019-06-25,413.942
AB-10165,2021-03-30,94.2
AB-10165,2021-04-14,118.32000000000001
AB-10165,2021-09-15,163.96
AB-10165,2021-12-05,39.792
AB-10255,2018-07-22,19.68
AB-10255,2019-05-08,37.94
AB-10255,2019-12-03,53.232
AB-10255,2020-06-26,13.616
AB-10255,2020-10-23,17.05
AB-10255,2020-12-20,34.34
AB-10255,2021-06-02,30.41
AB-10255,2021-06-16,228.28
AB-10255,2021-07-17,479.98400000000004
AB-10600,2018-11-18,14.48
AB-10600,2019-02-18,9.24
AB-10600,2019-11-30,17.088
AB-10600,2021-11-10,1475.054
AC-10420,2018-07-12,706.064
AC-10420,2020-02-23,57.576
AC-10420,2021-05-12,162.16
AC-10450,2018-10-31,742.336
AC-10450,2019-06-15,11.672
AC-10450,2019-11-08,70.212
AC-10450,2020-09-22,24.066
AC-10450,2020-11-24,1219.96
AC-10450,2021-10-03,1793.98
AC-10450,2021-12-19,1665.62
AC-10615,2019-09-15,150.76
AC-10615,2021-02-23,80.36
AC-10615,2021-03-24,12.767999999999999
AC-10615,2021-09-02,2255.868
AC-10615,2021-12-24,37.93
AC-10660,2018-10-15,191.34
AC-10660,2020-03-17,84.78399999999999
AC-10660,2020-06-27,201.584
AC-10660,2020-09-22,35.88
AC-10660,2021-03-23,143.72799999999998
AD-10180,2018-11-19,5.88
AD-10180,2018-12-26,600.558
AD-10180,2019-06-14,51.071999999999996
AD-10180,2019-07-04,15.48
AD-10180,2021-01-22,4189.379999999999
AD-10180,2021-04-30,163.96
AD-10180,2021-11-13,163.96
AD-10180,2021-12-01,916.59
AF-10870,2019-12-06,7.78
AF-10870,2020-04-23,90.05799999999999
AF-10870,2020-05-06,29.384
AF-10870,2020-05-22,1562.0860000000002
AF-10870,2021-04-24,83.214
AF-10870,2021-11-18,47.327999999999996
AF-10870,2021-11-19,233.058
AF-10885,2018-05-10,372.28499999999997
AF-10885,2018-09-12,63.924
AF-10885,2019-10-13,371.65999999999997
AF-10885,2020-11-10,53.696
AG-10270,2018-05-13,55.5
AG-10270,2018-07-23,99.98
AG-10270,2019-09-20,37.68
AG-10270,2020-09-13,2374.73
AG-10270,2021-03-27,15.008
AG-10300,2018-04-26,248.568
AG-10300,2019-11-19,31.08
AG-10300,2020-12-05,81.94
AG-10300,2021-09-03,5.96
AG-10330,2020-08-03,248.82
AG-10330,2021-12-10,108.80000000000001
AG-10330,2021-12-18,12.672
AG-10330,2021-12-22,290.68
AG-10390,2018-04-19,129.32999999999998
AG-10390,2018-09-03,14.4
AG-10390,2020-11-20,32.751
AG-10390,2020-12-01,4.704
AG-10390,2021-09-07,19.76
AG-10495,2019-01-04,192.22
AG-10495,2019-10-23,3.592
AG-10495,2019-10-24,373.281
AG-10495,2019-10-26,174.304
AG-10495,2019-11-11,542.178
AG-10495,2020-10-20,19.296
AG-10495,2021-10-13,114.376
AG-10525,2018-08-09,193.936
AG-10525,2018-09-02,559.71
AG-10525,2019-09-06,46.62
AG-10525,2019-09-07,654.7719999999999
AG-10675,2019-05-07,259.94199999999995
AG-10675,2020-01-14,405.344
AG-10675,2020-09-08,2620.9376
AG-10675,2021-06-09,49.12
AG-10675,2021-07-29,61.216
AG-10675,2021-09-07,13.48
AG-10675,2021-09-24,79.0
AG-10765,2018-09-17,5.892
AG-10765,2019-06-09,113.1
AG-10765,2019-11-09,10.74
AG-10765,2021-10-14,40.852000000000004
